timestamp,uplink_prb_usage,uplink_throughput
1777923148,25,64.9866338879511
1777923149,25,67.16081124817994
1777923150,26,66.56072917391589
1777923151,27,69.13401881566487
1777923152,27,70.63632360179965
1777923153,27,75.36719518849122
1777923154,28,70.95478432582435
1777923155,29,66.06468431953684
1777923156,28,77.53030530922823
1777923157,29,69.43309439873232
1777923158,29,72.93575807802917
1777923159,29,75.20941428123321
1777923160,29,74.09824688281253
1777923161,28,77.32380796384665
1777923162,28,74.55551414526742
1777923163,28,68.52410689136302
1777923164,27,81.40352978296247
1777923165,28,73.27450058502205
1777923166,27,70.93696898020322
1777923167,27,75.93766440375006
1777923168,28,73.52252925668533
1777923169,28,74.19652686822698
1777923170,28,83.6148279937031
1777923171,28,71.1619535728523
1777923172,27,70.17007597692171
1777923173,28,72.92460330405609
1777923174,27,76.42182171011467
1777923175,28,65.62059686414321
1777923176,27,62.754998488355724
1777923177,28,69.75798128220934
1777923178,27,64.24734668423321
1777923179,29,71.28825893613462
1777923180,29,75.46124863258181
1777923181,28,68.39163011401482
1777923182,29,66.77928040448396
1777923183,28,72.71201722771907
1777923184,29,77.08144568076827
1777923185,28,64.77261952667524
1777923186,27,75.29104579237692
1777923187,28,76.07787791682247
1777923188,28,76.69338295970483
1777923189,28,77.88316096692259
1777923190,29,83.10906266096828
1777923191,29,71.59758578121425
1777923192,28,72.89307211035037
1777923193,28,70.52602705038389
1777923194,28,72.40889580140116
1777923195,28,79.2979301003634
1777923196,29,67.147434822312
1777923197,28,68.52527647525491
1777923198,28,78.59731421427053
1777923199,28,76.9901642810594
1777923200,28,70.76590758932315
1777923201,29,77.04480900504325
1777923202,29,74.73547129121415
1777923203,30,80.75123574050444
1777923204,30,74.33529317222047
1777923205,30,78.61534451242662
1777923206,30,85.88905359721679
1777923207,30,76.6914461977136
1777923208,30,74.22197674607679
1777923209,30,77.25101143349441
1777923210,30,72.35623613808252
1777923211,30,84.74585467486129
1777923212,30,74.81031966963192
1777923213,31,73.57180005898519
1777923214,31,71.03939947740983
1777923215,32,80.53749086222896
1777923216,32,79.50234335772483
1777923217,32,73.36190532863658
1777923218,32,78.19403105305089
1777923219,33,69.61149814304216
1777923220,33,77.2323675878292
1777923221,34,79.23740358434513
1777923222,33,84.0829841430165
1777923223,33,72.9313153877209
1777923224,33,70.64741317038954
1777923225,33,72.37057417583732
1777923226,34,71.18544174858286
1777923227,33,82.41495810991543
1777923228,33,83.36887682760818
1777923229,33,77.84097460076974
1777923230,34,82.69582725558317
1777923231,34,77.80281271261106
1777923232,33,75.97199758534656
1777923233,33,74.90133071425808
1777923234,34,75.80324053880096
1777923235,34,70.23489299660936
1777923236,34,78.38914643623303
1777923237,34,77.01849740403681
1777923238,34,80.55412325835044
1777923239,35,78.42085573397374
1777923240,34,76.46783334293909
1777923241,34,73.27963136496567
1777923242,34,77.52468956569793
1777923243,34,80.52206753867273
1777923244,34,72.05497454012263
1777923245,34,77.59363189156333
1777923246,34,78.24869328188268
1777923247,34,73.96870847371781
1777923248,33,73.754646627914
1777923249,33,77.43774881944798
1777923250,33,71.2996054176832
1777923251,33,77.97465671862227
1777923252,33,72.3709053185336
1777923253,33,81.18284161864948
1777923254,34,87.72022485424735
1777923255,34,73.32659439234182
1777923256,34,79.60393538068604
1777923257,34,73.92966142803091
1777923258,33,81.08429378209006
1777923259,33,70.70633715911654
1777923260,33,78.56264041292471
1777923261,35,74.07154964899792
1777923262,35,77.06856934905734
1777923263,35,73.36038626183712
1777923264,35,81.7005771190309
1777923265,34,73.43358840502187
1777923266,35,80.48383916699322
1777923267,35,76.4515588728195
1777923268,36,78.28487432690511
1777923269,35,78.66490158330058
1777923270,36,75.37178897753518
1777923271,35,78.94665201093399
1777923272,35,84.88650553959485
1777923273,37,76.09857346375279
1777923274,36,84.07314564473229
1777923275,36,85.54143935069503
1777923276,36,75.1273025493738
1777923277,36,72.25225427709252
1777923278,35,79.35882405077294
1777923279,35,75.53666614754907
1777923280,34,85.60871448623351
1777923281,34,77.35663393224925
1777923282,34,73.59010266384169
1777923283,35,72.8377822004473
1777923284,34,82.10457231590874
1777923285,34,74.62967211662117
1777923286,35,78.19722959757193
1777923287,34,81.50111235300616
1777923288,34,75.02083741631127
1777923289,35,77.79332027066928
1777923290,34,77.12544215579867
1777923291,34,80.27496030182242
1777923292,34,79.85834950979647
1777923293,34,76.20948820935327
1777923294,34,77.48642077673433
1777923295,33,74.72699444814431
1777923296,33,69.75074416886251
1777923297,33,77.55920385829158
1777923298,33,84.91486292374881
1777923299,33,72.42326386689022
1777923300,33,72.92136630678785
1777923301,33,72.48172502760318
1777923302,33,79.66066300425406
1777923303,33,78.41818454388398
1777923304,33,75.68658038412595
1777923305,34,73.06891422262466
1777923306,33,76.81569556237966
1777923307,33,69.35920042698889
1777923308,33,77.04541955085872
1777923309,33,80.32185973739571
1777923310,33,70.76960388514846
1777923311,33,69.50366775426652
1777923312,33,83.50747051262687
1777923313,33,73.64708162222938
1777923314,34,82.3117653067472
1777923315,35,77.30701050660976
1777923316,34,76.47120332376403
1777923317,34,79.1728571477349
1777923318,33,72.42200514464102
1777923319,33,76.9962371457304
1777923320,33,74.68329763329159
1777923321,33,70.45777950467736
1777923322,33,77.9186693362688
1777923323,33,75.21511486904939
1777923324,33,75.69338827199883
1777923325,34,71.7542757546363
1777923326,33,83.56130165493262
1777923327,35,81.94521383873752
1777923328,35,82.3387014787739
1777923329,34,75.82549883901244
1777923330,34,69.41867699723461
1777923331,34,85.9881282212028
1777923332,34,76.92506121397359
1777923333,34,73.83040091790976
1777923334,34,79.07560708517401
1777923335,34,82.45204354601483
1777923336,33,76.2962724976154
1777923337,32,81.35358825572717
1777923338,32,80.4734997233259
1777923339,32,70.75628465669074
1777923340,32,72.56794452453235
1777923341,31,79.10891723475895
1777923342,31,62.593243462853025
1777923343,31,74.12744938075755
1777923344,31,68.36125959268898
1777923345,31,72.65550789354914
1777923346,31,73.45530959936858
1777923347,30,72.38790029941622
1777923348,30,71.51482436549327
1777923349,30,69.06285357667034
1777923350,30,84.31360070068409
1777923351,31,83.20357901872607
1777923352,30,68.77070380884673
